Client family name	Date Time of recording	Time of sample in recording	Time of sample in annot	Prompt	Annotation Title	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue	X0 DLC_HyoidMandible	Y0 DLC_HyoidMandible	X1 DLC_HyoidMandible	Y1 DLC_HyoidMandible	X0 DLC_ShorttendonMandible	Y0 DLC_ShorttendonMandible	X1 DLC_ShorttendonMandible	Y1 DLC_ShorttendonMandible
eu01	08/05/2024 11:53:38	1.75	0.05	Eta guai hozkakan hitza esanko dot	s̻	-6.8815	-46.8766	-13.7816	-36.3627	-15.6223	-24.7039	-13.732	-13.8089	-10.5294	-2.1719	-2.2939	7.6226	9.8187	8.9084	15.2754	7.8368	21.5409	7.246	27.1822	7.6775	33.4119	8.089	4.2116	-51.0231	42.4129	-33.1292	36.6536	-26.323	42.4129	-33.1292
eu01	08/05/2024 11:53:48	1.375	0.055	Eta guai zutitu hitza esanko dot	s̻	0.6099	-47.1686	-6.9345	-37.6265	-11.229	-26.1619	-13.565	-15.3803	-9.5847	-3.9109	-1.0812	4.4198	10.2521	5.6122	16.9372	5.7806	22.9393	7.2179	28.3247	8.15	34.0355	8.8363	4.7493	-56.3239	44.0707	-34.0899	38.7573	-28.7575	44.0707	-34.0899
eu01	08/05/2024 11:54:09	1.135	0.055	Eta guai zengeiti hitza esanko dot	s̻	-0.5637	-47.8549	-7.0507	-38.1163	-7.7436	-26.5747	-5.9195	-16.0935	-5.7689	-5.3387	0.4195	4.3232	10.6739	7.6617	15.6129	7.1441	22.3121	7.685	28.1505	8.4852	33.1584	8.9206	8.0689	-53.9418	41.8347	-33.407	35.4968	-27.3173	41.8347	-33.407
eu01	08/05/2024 11:55:22	0.995	0.055	Eta guai usatai hitza esanko dot	s̺	-2.8718	-53.0256	-11.7812	-46.1905	-14.9389	-36.1811	-14.2594	-25.8323	-9.8234	-14.0937	-2.0991	-6.7771	10.2413	-0.0098	16.517	2.3751	22.2091	4.6334	28.0296	7.8588	33.3071	9.0435	6.6976	-55.2055	47.789	-33.2114	41.5676	-26.106	47.789	-33.2114
eu01	08/05/2024 11:55:43	1.015	0.045	Eta guai zakukada hitza esanko dot	s̻	-2.8803	-51.3595	-10.4418	-43.205	-13.8197	-32.028	-12.0784	-21.3018	-7.7121	-10.0197	0.1675	0.5109	12.6281	2.4483	19.1427	2.8966	24.962	4.182	30.5771	5.1626	36.8201	5.5578	6.703	-53.7501	47.1254	-33.8934	38.8627	-26.3627	47.1254	-33.8934
eu01	08/05/2024 11:55:54	1.015	0.055	Eta guai zeiti hitza esanko dot	s̻	1.1424	-48.8347	-4.278	-36.8617	-3.1765	-25.03	-1.8796	-13.2224	-1.0747	-0.4962	5.966	10.884	18.1212	13.8381	23.2476	12.8171	28.6316	11.3821	33.4266	10.3718	38.0525	9.2057	9.7663	-53.9052	43.1895	-33.5329	38.5537	-26.888	43.1895	-33.5329
eu01	08/05/2024 11:56:04	1.11	0.03	Eta guai putzu hitza esanko dot	s̻	2.2973	-46.5848	-5.0387	-35.4551	-8.6387	-24.4723	-9.9361	-12.5063	-6.9256	-1.7059	1.3226	6.786	12.2092	7.8015	18.6404	7.4269	24.3805	7.4889	29.9774	8.2177	35.5373	9.0408	7.9151	-56.1581	43.451	-34.1161	37.6417	-27.966	43.451	-34.1161
eu01	08/05/2024 11:56:10	1.25	0.05	Eta guai pasa hitza esanko dot	s̺	-3.5424	-51.0116	-10.9877	-41.9387	-12.0728	-30.2334	-8.1614	-19.386	-4.1744	-8.2422	2.986	1.1306	14.9724	4.9174	21.6062	6.0886	26.9191	7.0909	31.5696	7.6259	38.045	7.3907	6.2639	-52.4402	45.8741	-32.312	40.667	-25.993	45.8741	-32.312
eu01	08/05/2024 11:56:32	1.03	0.04	Eta guai kasoitaile hitza esanko dot	s̺	-1.8714	-52.9695	-10.3355	-42.8112	-11.8442	-29.8085	-7.8389	-18.3021	-4.3732	-6.0112	2.5134	5.8263	14.8672	9.7691	21.0533	9.2365	26.2908	9.218	32.0392	8.6955	38.2819	7.9959	8.8321	-54.2962	46.529	-32.9114	38.9266	-26.1602	46.529	-32.9114
eu01	08/05/2024 11:57:02	1.035	0.055	Eta guai eseri hitza esanko dot	s̺	-3.289	-48.7385	-9.3548	-37.1414	-7.4758	-24.9867	-2.7315	-15.0026	-1.4245	-3.0348	3.4825	8.1296	14.241	11.982	19.731	12.9194	24.7512	13.6137	29.9837	14.6576	35.2158	15.2211	8.3785	-54.141	46.4534	-32.3878	38.126	-26.0086	46.4534	-32.3878
