Client family name	Date Time of recording	Time of sample in recording	Time of sample in annot	Prompt	Annotation Title	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue	X0 DLC_HyoidMandible	Y0 DLC_HyoidMandible	X1 DLC_HyoidMandible	Y1 DLC_HyoidMandible	X0 DLC_ShorttendonMandible	Y0 DLC_ShorttendonMandible	X1 DLC_ShorttendonMandible	Y1 DLC_ShorttendonMandible
eu01	08/05/2024 11:53:38	2.0450	0.0250	Eta guai hozkakan hitza esanko dot	a	-0.1431	-52.1169	-5.2624	-40.9575	-5.5985	-28.8017	-4.3750	-17.6145	-3.5595	-5.6004	2.4234	5.3672	13.2198	9.0131	18.3773	9.5804	24.4288	10.7385	29.7979	11.2661	34.6554	11.1933	11.5651	-55.9513	41.8850	-33.6561	35.8525	-27.9337	41.8850	-33.6561
eu01	08/05/2024 11:53:38	1.8900	0.0200	Eta guai hozkakan hitza esanko dot	a	-2.6932	-49.2106	-10.6554	-38.5393	-13.6575	-28.0534	-11.2463	-15.0178	-9.6725	-4.0127	-2.7561	7.1799	9.5103	4.7243	15.5915	3.0802	21.8312	3.1349	28.3287	2.8753	33.7853	1.3852	5.8653	-51.9132	44.7005	-33.6100	37.1552	-26.7767	44.7005	-33.6100
eu01	08/05/2024 11:53:38	1.6700	0.0300	Eta guai hozkakan hitza esanko dot	o	-4.0028	-52.6566	-11.9279	-43.8060	-16.3849	-32.8310	-17.4630	-21.5054	-13.4593	-10.1572	-3.0839	-1.5407	9.6806	1.6125	16.3236	2.6613	22.4762	4.2881	27.8361	6.7603	33.2718	9.8644	7.1366	-53.8346	46.6827	-31.6125	41.1639	-25.3799	46.6827	-31.6125
eu01	08/05/2024 11:53:48	1.5850	0.0250	Eta guai zutitu hitza esanko dot	i	3.0360	-50.5407	-1.6834	-39.3458	-3.3407	-26.3489	-5.1284	-15.4069	-5.1969	-1.7424	1.6969	8.3773	13.6741	11.5204	19.2521	12.1667	24.7480	12.8203	30.7142	13.7228	37.0884	14.2343	9.8390	-58.6499	42.3249	-31.9497	37.1096	-26.9063	42.3249	-31.9497
eu01	08/05/2024 11:53:48	1.7600	0.0400	Eta guai zutitu hitza esanko dot	u	2.4298	-49.4728	-2.5742	-37.4699	-5.0577	-24.7199	-5.0548	-12.7111	-4.9841	0.4965	2.9557	11.6752	14.0814	12.2376	19.4981	12.0873	24.5732	12.0427	29.9939	11.1633	35.0033	10.4624	9.5771	-58.6117	43.1187	-33.4678	37.4356	-27.5504	43.1187	-33.4678
eu01	08/05/2024 11:53:48	1.4600	0.0300	Eta guai zutitu hitza esanko dot	u	0.8660	-51.0900	-4.7209	-39.4571	-7.6436	-26.8380	-7.8378	-15.4439	-6.0464	-3.6842	0.3878	5.9135	11.7759	9.0025	17.8515	9.3749	23.6714	10.3757	29.8183	11.8748	35.9890	13.4064	7.1091	-58.3075	43.3939	-33.7176	37.3560	-26.8421	43.3939	-33.7176
eu01	08/05/2024 11:53:53	1.3000	0.0400	Eta guai muxu hitza esanko dot	u	2.5633	-50.5526	-2.8993	-40.9462	-4.4416	-29.8122	-1.5875	-19.3838	0.0018	-7.0273	4.3238	7.5652	14.7482	12.0280	19.9524	12.4976	25.7587	12.0579	30.3521	11.6666	33.9566	11.7050	10.5123	-58.2632	42.7253	-32.8598	37.5296	-26.9932	42.7253	-32.8598
eu01	08/05/2024 11:53:53	1.0950	0.0350	Eta guai muxu hitza esanko dot	u	2.8950	-50.4302	-2.5082	-41.3094	-5.4789	-29.1973	-3.9091	-18.2006	-1.2838	-7.9410	2.6724	2.7271	11.2196	13.8112	15.5540	14.5226	19.8551	15.6465	24.6961	15.6254	30.1512	14.2702	12.0207	-57.1133	43.1841	-33.6926	37.6136	-28.2210	43.1841	-33.6926
eu01	08/05/2024 11:54:04	1.3300	0.0300	Eta guai dudaipe hitza esanko dot	a	-0.7908	-49.7220	-7.0841	-38.8810	-7.2093	-26.7171	-2.8614	-15.9197	-0.0048	-3.5989	4.7405	7.6543	15.4101	12.3039	20.4821	12.9744	26.1898	12.5338	31.3515	11.8849	35.5955	11.1058	7.4485	-54.8943	38.9461	-32.9247	33.5688	-26.3293	38.9461	-32.9247
eu01	08/05/2024 11:54:04	1.5650	0.0650	Eta guai dudaipe hitza esanko dot	e	1.7002	-51.4665	-3.3639	-39.8156	-1.7232	-25.7405	-0.1510	-14.1663	-0.8634	-0.2869	4.7132	11.5570	16.2762	13.1187	21.4921	12.9390	26.3962	12.2762	31.7188	11.8413	37.0496	11.0147	10.1440	-57.7104	42.1885	-32.5406	36.8844	-27.2392	42.1885	-32.5406
