Client family name	Date Time of recording	Time of sample in recording	Time of sample in annot	Prompt	Annotation Title	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue	X0 DLC_HyoidMandible	Y0 DLC_HyoidMandible	X1 DLC_HyoidMandible	Y1 DLC_HyoidMandible	X0 DLC_ShorttendonMandible	Y0 DLC_ShorttendonMandible	X1 DLC_ShorttendonMandible	Y1 DLC_ShorttendonMandible
eu01	08/05/2024 11:53:53	1.195	0.065	Eta guai muxu hitza esanko dot	ʃ	2.2176	-51.7084	-4.9335	-42.2309	-8.0696	-29.768	-7.6873	-18.5665	-5.9866	-6.6906	-1.5914	4.4972	7.3878	9.8979	12.9605	10.0666	18.5684	10.4118	23.6423	10.2125	29.0169	9.2479	9.6953	-56.4545	42.9175	-33.5241	37.5463	-27.5707	42.9175	-33.5241
eu01	08/05/2024 11:56:42	1.355	0.025	Eta guai enpatxatu hitza esanko dot	ʃ	-3.3181	-53.223	-11.1001	-44.3272	-13.5294	-32.3594	-9.2513	-21.6497	-1.4194	-11.1955	4.822	-1.7955	15.981	6.6576	22.5961	9.2942	28.2259	10.7028	34.6373	12.0782	41.03	12.3704	5.9021	-55.4209	46.3639	-33.0351	38.8446	-26.8281	46.3639	-33.0351
eu01	08/05/2024 11:57:12	0.84	0.06	Eta guai exeri hitza esanko dot	ʃ	0.0961	-49.8407	-7.0551	-39.6495	-6.9995	-26.4278	-2.5435	-15.4527	0.0903	-2.6269	4.6305	10.257	15.2291	13.7205	20.9404	13.8608	26.5424	13.5702	31.9879	12.9961	38.0245	12.1218	8.9458	-54.6898	45.0958	-31.4569	37.4987	-25.096	45.0958	-31.4569
eu01	08/05/2024 11:57:33	1.145	0.025	Eta guai txutxupe hitza esanko dot	ʃ	2.0619	-47.556	-5.5325	-35.8656	-7.86	-25.4209	-6.0408	-14.0217	-2.3501	-2.2213	3.1517	6.7004	13.8341	9.5707	18.2255	8.0024	23.4044	7.6844	28.0891	6.9045	33.1418	6.1809	9.6818	-56.0175	44.9847	-30.9132	38.1766	-24.9358	44.9847	-30.9132
eu01	08/05/2024 11:57:33	0.99	0.03	Eta guai txutxupe hitza esanko dot	ʃ	1.6846	-49.3125	-4.543	-37.1385	-5.3825	-25.521	-1.3726	-11.2805	3.2937	-0.1634	6.8802	13.4513	19.2864	17.9402	24.6914	15.8854	29.078	14.7335	34.6489	13.1537	39.8998	11.6704	9.5113	-55.9359	43.6099	-31.0355	36.1844	-24.3761	43.6099	-31.0355
eu01	08/05/2024 11:59:55	1.175	0.025	Eta guai mordotxo hitza esanko dot	ʃ	-0.0953	-46.0639	-7.808	-34.1085	-6.3106	-21.6553	-1.1423	-11.0163	0.8716	1.0366	7.5118	11.9304	19.7247	11.8361	24.4794	9.7532	28.6824	8.832	33.9787	8.2078	38.8893	7.0979	8.8489	-52.9962	43.6259	-33.027	38.5366	-26.3625	43.6259	-33.027
eu01	08/05/2024 12:02:16	1.005	0.035	Eta guai etxe hitza esanko dot	ʃ	1.3358	-50.3672	-3.6338	-39.555	-2.533	-26.8468	0.0267	-15.524	1.683	-0.1855	9.1102	10.1784	21.1004	12.0778	26.0468	10.1027	31.2752	9.6687	36.0358	9.1439	39.1524	9.2165	9.9286	-56.5752	43.652	-34.4366	39.1586	-28.7311	43.652	-34.4366
eu01	08/05/2024 12:03:13	0.78	0.05	Eta guai axolabaiko hitza esanko dot	ʃ	-3.4819	-51.5358	-10.4538	-40.9046	-12.8505	-28.2164	-10.5944	-16.4504	-5.1769	-4.5266	1.6608	6.9371	13.7713	11.2079	20.1605	10.753	24.9635	10.7299	30.6487	11.3662	38.2494	10.3682	7.6211	-53.3511	47.0712	-33.222	40.0496	-25.4957	47.0712	-33.222
eu01	08/05/2024 12:04:38	0.84	0.03	Eta guai txapape hitza esanko dot	ʃ	-3.2349	-53.8707	-11.1896	-45.0213	-13.855	-33.3559	-12.0267	-22.3008	-7.6917	-10.7192	0.0859	-0.5916	12.6237	2.5597	18.7	2.5274	23.0712	2.4481	28.1911	2.0134	33.3623	0.3711	7.1684	-54.287	46.8691	-32.5011	41.4983	-26.6353	46.8691	-32.5011
eu01	08/05/2024 12:05:17	1.05	0.06	Eta guai ixildu hitza esanko dot	ʃ	1.1247	-50.6696	-3.3854	-38.4998	-3.8339	-24.8429	-3.2986	-12.7746	-2.7408	-0.0224	2.909	11.9587	13.3843	14.8997	19.1911	15.2742	24.8873	15.3233	29.9248	14.7347	36.4612	11.6571	8.5558	-58.0119	45.1357	-31.5442	39.0609	-25.8534	45.1357	-31.5442
